Player,team,Target,Rec,Yard,TD,Att,Yard.1,TD.1,pos,week,year,h/a,oppt,fd_points,fd_salary,dk_points,dk_salary,all_data,spread,total,money_odds_neg,money_odds_pos,status,cause
Nate Washington,HOU,16.0,9.0,127.0,2.0,0.0,0.0,0.0,WR,7.0,2015.0,a,MIA,29.2,4900.0,36.7,3000.0,True,4.5,45.5,-220.0,+185,Probable,hamstring
Mike Evans,TB,12.0,8.0,164.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,WAS,26.4,7500.0,33.4,6400.0,True,3.0,41.5,-155.0,+135,,
Jarvis Landry,MIA,5.0,5.0,83.0,2.0,1.0,5.0,0.0,WR,7.0,2015.0,h,HOU,23.3,7100.0,25.8,6200.0,True,-4.5,45.5,-220.0,+185,,
Amari Cooper,OAK,6.0,5.0,133.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SDG,21.8,7300.0,27.3,6500.0,True,3.5,48.5,-185.0,+165,,
Stefon Diggs,MIN,9.0,6.0,108.0,1.0,1.0,9.0,0.0,WR,7.0,2015.0,a,DET,20.7,5800.0,26.7,4200.0,True,1.0,45.0,-120.0,+100,,
Allen Robinson,JAC,9.0,6.0,98.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BUF,18.8,7000.0,21.8,6400.0,True,3.5,41.5,-185.0,+165,Probable,shin
Julio Jones,ATL,17.0,9.0,92.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,TEN,19.7,9100.0,24.2,9100.0,True,-6.0,45.5,-250.0,+210,,
Danny Amendola,NE,9.0,8.0,86.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NYJ,18.6,5400.0,22.6,3500.0,True,-7.0,47.5,-325.0,+265,,
Calvin Johnson,DET,7.0,5.0,86.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,MIN,17.1,8400.0,19.6,7700.0,True,-1.0,45.0,-120.0,+100,Probable,ankle
Robert Woods,BUF,13.0,9.0,84.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,JAC,18.9,4900.0,23.4,3300.0,True,-3.5,41.5,-185.0,+165,,
Tyler Lockett,SEA,5.0,5.0,79.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SFO,16.4,5100.0,18.9,3200.0,True,-6.5,42.0,-300.0,+250,,
Rishard Matthews,MIA,3.0,3.0,75.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,HOU,15.0,6400.0,16.5,4300.0,True,-4.5,45.5,-220.0,+185,,
Antonio Brown,PIT,8.0,6.0,124.0,0.0,1.0,6.0,0.0,WR,7.0,2015.0,a,KAN,16.0,8300.0,22.0,7900.0,True,3.5,41.5,-185.0,+165,,
John Brown,ARI,6.0,4.0,65.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BAL,14.5,6700.0,16.5,5500.0,True,-10.0,49.5,-500.0,+400,Questionable,hamstring
Chris Conley,KC,7.0,6.0,63.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,PIT,15.3,4800.0,18.3,3000.0,True,-3.5,41.5,-185.0,+165,,
Michael Crabtree,OAK,8.0,6.0,63.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SDG,15.3,5900.0,18.3,4300.0,True,3.5,48.5,-185.0,+165,,
Michael Floyd,ARI,4.0,3.0,59.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BAL,13.4,4900.0,14.9,3200.0,True,-10.0,49.5,-500.0,+400,,
Martavis Bryant,PIT,8.0,3.0,45.0,1.0,1.0,13.0,0.0,WR,7.0,2015.0,a,KAN,13.3,6900.0,14.8,4700.0,True,3.5,41.5,-185.0,+165,,
Marcus Easley,BUF,1.0,1.0,58.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,JAC,12.3,4500.0,12.8,3000.0,True,-3.5,41.5,-185.0,+165,Questionable,shoulder
Ryan Grant,WAS,3.0,3.0,54.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,TAM,12.9,,14.4,,False,-3.0,41.5,-155.0,+135,,
Allen Hurns,JAC,8.0,2.0,53.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BUF,12.3,6900.0,13.3,5300.0,True,3.5,41.5,-185.0,+165,Probable,ankle
Kendall Wright,TEN,8.0,4.0,46.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,ATL,12.6,5700.0,14.6,5200.0,True,6.0,45.5,-250.0,+210,,
Eric Decker,NYJ,12.0,6.0,94.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NWE,12.4,6200.0,15.4,5300.0,True,7.0,47.5,-325.0,+265,,
Donte Moncrief,IND,6.0,4.0,34.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NOR,11.4,6500.0,13.4,5200.0,True,-5.0,53.0,-240.0,+200,,
Keenan Allen,SD,13.0,9.0,89.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,OAK,13.4,8100.0,17.9,7700.0,True,-3.5,48.5,-185.0,+165,Questionable,hip
Jeremy Kerley,NYJ,4.0,3.0,27.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NWE,10.2,4900.0,11.7,3000.0,True,7.0,47.5,-325.0,+265,,
Devin Street,DAL,1.0,1.0,25.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NYG,9.0,4700.0,9.5,3000.0,True,3.0,44.5,-160.0,+140,,
Brandin Cooks,NO,13.0,6.0,81.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,IND,11.1,6700.0,14.1,5500.0,True,5.0,53.0,-240.0,+200,,
Steve Smith,BAL,9.0,5.0,78.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,ARI,10.3,6900.0,12.8,6200.0,True,10.0,49.5,-500.0,+400,,
Albert Wilson,KC,6.0,3.0,71.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,PIT,8.6,4500.0,10.1,3000.0,True,-3.5,41.5,-185.0,+165,,
Terrance Williams,DAL,7.0,4.0,70.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NYG,9.0,5900.0,11.0,4200.0,True,3.0,44.5,-160.0,+140,,
Rueben Randle,NYG,5.0,2.0,68.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,DAL,7.8,5700.0,8.8,4400.0,True,-3.0,44.5,-160.0,+140,Probable,hamstring
Donteea Dye,TB,1.0,1.0,7.0,1.0,0.0,0.0,0.0,WR,7.0,2015.0,a,WAS,7.2,,7.7,3000.0,False,3.0,41.5,-155.0,+135,,
Brandon Marshall,NYJ,7.0,4.0,67.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NWE,8.7,8200.0,10.7,7800.0,True,7.0,47.5,-325.0,+265,,
Tavon Austin,STL,7.0,4.0,43.0,0.0,1.0,21.0,0.0,WR,7.0,2015.0,h,CLE,8.4,5800.0,10.4,4500.0,True,-6.0,44.0,-265.0,+225,Questionable,thigh
Jermaine Kearse,SEA,4.0,3.0,64.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SFO,7.9,5700.0,9.4,3600.0,True,-6.5,42.0,-300.0,+250,,
Chris Hogan,BUF,11.0,6.0,56.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,JAC,8.6,5100.0,11.6,3300.0,True,-3.5,41.5,-185.0,+165,,
Pierre Garcon,WAS,6.0,5.0,55.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,TAM,8.0,6100.0,10.5,5000.0,True,-3.0,41.5,-155.0,+135,,
Julian Edelman,NE,9.0,5.0,54.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NYJ,7.9,8000.0,10.4,8200.0,True,-7.0,47.5,-325.0,+265,,
Miles Austin,PHI,6.0,4.0,52.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,CAR,7.2,5200.0,9.2,3000.0,True,2.5,46.0,-140.0,+120,,
DeAndre Hopkins,HOU,12.0,6.0,50.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,MIA,8.0,9200.0,11.0,8600.0,True,4.5,45.5,-220.0,+185,,
Steve Johnson,SD,8.0,4.0,50.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,OAK,7.0,5700.0,9.0,3500.0,True,-3.5,48.5,-185.0,+165,Questionable,hamstring
Andre Roberts,WAS,6.0,3.0,49.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,TAM,6.4,4700.0,7.9,3000.0,True,-3.0,41.5,-155.0,+135,,
Jamison Crowder,WAS,5.0,5.0,48.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,TAM,7.3,5800.0,9.8,3700.0,True,-3.0,41.5,-155.0,+135,,
Roddy White,ATL,4.0,3.0,48.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,TEN,6.3,5500.0,7.8,3600.0,True,-6.0,45.5,-250.0,+210,Probable,foot
Travis Benjamin,CLE,8.0,4.0,47.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,STL,4.7,6600.0,7.7,5400.0,True,6.0,44.0,-265.0,+225,,
Andre Johnson,IND,4.0,4.0,44.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NOR,6.4,5700.0,8.4,4300.0,True,-5.0,53.0,-240.0,+200,,
Dwayne Harris,NYG,2.0,2.0,43.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,DAL,11.3,5000.0,12.3,3300.0,True,-3.0,44.5,-160.0,+140,,
Nick Williams,ATL,5.0,3.0,43.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,TEN,5.8,0.0,7.3,3000.0,True,-6.0,45.5,-250.0,+210,,
Kenny Britt,STL,2.0,1.0,41.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,CLE,4.6,5200.0,5.1,3700.0,True,-6.0,44.0,-265.0,+225,,
Brice Butler,DAL,5.0,2.0,41.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NYG,5.1,4700.0,6.1,3000.0,True,3.0,44.5,-160.0,+140,Probable,hamstring
Anquan Boldin,SF,7.0,3.0,39.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,SEA,5.4,6300.0,6.9,4500.0,True,6.5,42.0,-300.0,+250,Questionable,hamstring
Larry Fitzgerald,ARI,5.0,3.0,39.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BAL,5.4,7800.0,6.9,7400.0,True,-10.0,49.5,-500.0,+400,Probable,notinjuryrelated
Greg Jennings,MIA,2.0,2.0,37.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,HOU,4.7,4500.0,5.7,3000.0,True,-4.5,45.5,-220.0,+185,,
Mike Wallace,MIN,5.0,4.0,36.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,DET,5.6,5400.0,7.6,4200.0,True,1.0,45.0,-120.0,+100,,
Lucky Whitehead,DAL,0.0,0.0,0.0,0.0,4.0,35.0,0.0,WR,7.0,2015.0,a,NYG,3.5,4600.0,3.5,3000.0,True,3.0,44.5,-160.0,+140,,
Jarius Wright,MIN,6.0,3.0,31.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,DET,4.6,4900.0,6.1,3000.0,True,1.0,45.0,-120.0,+100,Probable,hand
Adam Thielen,MIN,2.0,1.0,30.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,DET,3.5,4500.0,4.0,3000.0,True,1.0,45.0,-120.0,+100,,
Louis Murphy,TB,1.0,1.0,29.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,WAS,3.4,5000.0,3.9,3000.0,True,3.0,41.5,-155.0,+135,,
Dontrelle Inman,SD,2.0,2.0,26.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,OAK,3.6,5100.0,4.6,3000.0,True,-3.5,48.5,-185.0,+165,,
Chris Givens,BAL,2.0,1.0,31.0,0.0,1.0,-6.0,0.0,WR,7.0,2015.0,a,ARI,3.0,4500.0,3.5,3000.0,True,10.0,49.5,-500.0,+400,,
Brandon LaFell,NE,8.0,2.0,25.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NYJ,3.5,6500.0,4.5,0.0,True,-7.0,47.5,-325.0,+265,,
Chris Owusu,NYJ,4.0,2.0,25.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NWE,3.5,4700.0,4.5,3000.0,True,7.0,47.5,-325.0,+265,,
Willie Snead,NO,7.0,3.0,25.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,IND,4.0,6500.0,5.5,4300.0,True,5.0,53.0,-240.0,+200,,
Brandon Coleman,NO,1.0,1.0,24.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,IND,2.9,4800.0,3.4,3000.0,True,5.0,53.0,-240.0,+200,,
Marlon Brown,BAL,5.0,3.0,22.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,ARI,3.7,4500.0,5.2,3000.0,True,10.0,49.5,-500.0,+400,,
Brian Hartline,CLE,3.0,3.0,22.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,STL,3.7,5000.0,5.2,3000.0,True,6.0,44.0,-265.0,+225,,
Andrew Hawkins,CLE,3.0,2.0,21.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,STL,3.1,4800.0,4.1,3000.0,True,6.0,44.0,-265.0,+225,,
Charles Johnson,MIN,2.0,1.0,21.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,DET,2.6,4700.0,3.1,3000.0,True,1.0,45.0,-120.0,+100,Probable,rib
Marques Colston,NO,3.0,1.0,20.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,IND,2.5,5100.0,3.0,3400.0,True,5.0,53.0,-240.0,+200,Probable,shoulder
Devin Funchess,CAR,2.0,1.0,20.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,PHI,2.5,4600.0,3.0,3000.0,True,-2.5,46.0,-140.0,+120,,
Doug Baldwin,SEA,3.0,2.0,19.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SFO,2.9,5800.0,3.9,4100.0,True,-6.5,42.0,-300.0,+250,,
Aaron Dobson,NE,3.0,2.0,18.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NYJ,2.8,5000.0,3.8,3000.0,True,-7.0,47.5,-325.0,+265,,
Justin Hunter,TEN,4.0,2.0,17.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,ATL,2.7,4800.0,3.7,3000.0,True,6.0,45.5,-250.0,+210,,
Keith Mumphery,HOU,3.0,1.0,16.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,MIA,2.1,4800.0,2.6,3000.0,True,4.5,45.5,-220.0,+185,,
Markus Wheaton,PIT,4.0,2.0,16.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,KAN,2.6,4800.0,3.6,3000.0,True,3.5,41.5,-185.0,+165,,
Taylor Gabriel,CLE,4.0,4.0,15.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,STL,1.5,4900.0,4.5,3000.0,True,6.0,44.0,-265.0,+225,,
Jordan Matthews,PHI,7.0,3.0,14.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,CAR,2.9,6600.0,4.4,6400.0,True,2.5,46.0,-140.0,+120,,
Golden Tate,DET,6.0,2.0,14.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,MIN,2.4,6700.0,3.4,5200.0,True,-1.0,45.0,-120.0,+100,Probable,ankle
Jerricho Cotchery,CAR,1.0,1.0,13.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,PHI,1.8,4600.0,2.3,3000.0,True,-2.5,46.0,-140.0,+120,,
Vincent Jackson,TB,2.0,1.0,13.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,WAS,1.8,6800.0,2.3,5300.0,True,3.0,41.5,-155.0,+135,,
Jason Avant,KC,2.0,2.0,11.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,PIT,2.1,4500.0,3.1,3000.0,True,-3.5,41.5,-185.0,+165,,
Jeremy Ross,BAL,1.0,1.0,9.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,ARI,-0.6,4500.0,0.9,3000.0,True,10.0,49.5,-500.0,+400,,
Stedman Bailey,STL,1.0,1.0,8.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,CLE,1.3,4900.0,1.8,3000.0,True,-6.0,44.0,-265.0,+225,,
Phillip Dorsett,IND,2.0,1.0,8.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,NOR,1.3,5200.0,1.8,3000.0,True,-5.0,53.0,-240.0,+200,,
Malcom Floyd,SD,3.0,1.0,7.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,OAK,1.2,5400.0,1.7,3600.0,True,-3.5,48.5,-185.0,+165,,
Devin Smith,NYJ,2.0,1.0,7.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NWE,1.2,4700.0,1.7,3000.0,True,7.0,47.5,-325.0,+265,,
Kamar Aiken,BAL,3.0,1.0,6.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,ARI,1.1,5600.0,1.6,4400.0,True,10.0,49.5,-500.0,+400,,
Seth Roberts,OAK,2.0,1.0,6.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SDG,1.1,5100.0,1.6,3200.0,True,3.5,48.5,-185.0,+165,,
Josh Huff,PHI,5.0,2.0,5.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,CAR,1.5,5300.0,2.5,3200.0,True,2.5,46.0,-140.0,+120,Probable,knee
Bryan Walters,JAC,1.0,1.0,5.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BUF,1.0,5200.0,1.5,3000.0,True,3.5,41.5,-185.0,+165,,
Jaron Brown,ARI,1.0,1.0,3.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,BAL,0.8,4500.0,1.3,3000.0,True,-10.0,49.5,-500.0,+400,,
Quinton Patton,SF,3.0,1.0,2.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,SEA,0.7,4500.0,1.2,3000.0,True,6.5,42.0,-300.0,+250,,
Cole Beasley,DAL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,NYG,-2.0,5200.0,-1.0,3200.0,True,3.0,44.5,-160.0,+140,,
Dorial Green-Beckham,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,ATL,0.0,5100.0,0.0,3200.0,True,6.0,45.5,-250.0,+210,,
Andre Holmes,OAK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SDG,0.0,5100.0,0.0,3000.0,True,3.5,48.5,-185.0,+165,,
Ricardo Lockette,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,SFO,0.0,4500.0,0.0,3000.0,True,-6.5,42.0,-300.0,+250,,
Lance Moore,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,MIN,0.0,5400.0,0.0,3500.0,True,-1.0,45.0,-120.0,+100,,
Brian Quick,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,CLE,0.0,4800.0,0.0,3000.0,True,-6.0,44.0,-265.0,+225,,
Torrey Smith,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,h,SEA,0.0,6000.0,0.0,4200.0,True,6.5,42.0,-300.0,+250,,
Jaelen Strong,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,7.0,2015.0,a,MIA,0.0,5000.0,0.0,3000.0,True,4.5,45.5,-220.0,+185,,
TY Hilton,IND,,,,,,,,WR,7.0,2015.0,h,NOR,29.0,7700.0,34.0,6500.0,True,-5.0,53.0,-240.0,+200,,
Ted Ginn Jr,CAR,,,,,,,,WR,7.0,2015.0,h,PHI,12.7,5300.0,15.2,3300.0,True,-2.5,46.0,-140.0,+120,,
Odell Beckham Jr,NYG,,,,,,,,WR,7.0,2015.0,h,DAL,5.5,9000.0,7.5,8700.0,True,-3.0,44.5,-160.0,+140,,
Corey Brown,CAR,,,,,,,,WR,7.0,2015.0,h,PHI,5.3,4700.0,6.8,3000.0,True,-2.5,46.0,-140.0,+120,,
De'Anthony Thomas,KC,,,,,,,,WR,7.0,2015.0,h,PIT,3.5,4500.0,4.5,3000.0,True,-3.5,41.5,-185.0,+165,,
Riley Cooper,PHI,,,,,,,,WR,7.0,2015.0,a,CAR,0.0,5300.0,0.0,3000.0,True,2.5,46.0,-140.0,+120,Questionable,knee
Darrius Heyward-Bey,PIT,,,,,,,,WR,7.0,2015.0,a,KAN,0.0,4900.0,0.0,3100.0,True,3.5,41.5,-185.0,+165,,
Brittan Golden,ARI,,,,,,,,WR,7.0,2015.0,h,BAL,0.0,4500.0,0.0,3000.0,True,-10.0,49.5,-500.0,+400,Probable,groin
Eric Weems,ATL,,,,,,,,WR,7.0,2015.0,a,TEN,0.0,4500.0,0.0,3000.0,True,-6.0,45.5,-250.0,+210,Probable,knee
JJ Nelson,ARI,,,,,,,,WR,7.0,2015.0,h,BAL,0.0,4500.0,0.0,3000.0,True,-10.0,49.5,-500.0,+400,,
Cordarrelle Patterson,MIN,,,,,,,,WR,7.0,2015.0,a,DET,0.0,4500.0,0.0,3000.0,True,1.0,45.0,-120.0,+100,,
Geremy Davis,NYG,,,,,,,,WR,7.0,2015.0,h,DAL,0.0,4500.0,0.0,3000.0,True,-3.0,44.5,-160.0,+140,,
Seyi Ajirotutu,PHI,,,,,,,,WR,7.0,2015.0,a,CAR,0.0,4500.0,0.0,3000.0,True,2.5,46.0,-140.0,+120,,
Leonard Hankerson,ATL,,,,,,,,WR,7.0,2015.0,a,TEN,0.0,5700.0,0.0,4200.0,True,-6.0,45.5,-250.0,+210,Probable,ribs
Corey Fuller,DET,,,,,,,,WR,7.0,2015.0,h,MIN,0.0,4500.0,0.0,3000.0,True,-1.0,45.0,-120.0,+100,,
Chris Matthews,SEA,,,,,,,,WR,7.0,2015.0,a,SFO,0.0,4500.0,0.0,3000.0,True,-6.5,42.0,-300.0,+250,,
Darren Waller,BAL,,,,,,,,WR,7.0,2015.0,a,ARI,0.0,4500.0,0.0,3000.0,True,10.0,49.5,-500.0,+400,Probable,concussion
DeVante Parker,MIA,,,,,,,,WR,7.0,2015.0,h,HOU,0.0,5000.0,0.0,3000.0,True,-4.5,45.5,-220.0,+185,,
Sammie Coates,PIT,,,,,,,,WR,7.0,2015.0,a,KAN,0.0,4500.0,0.0,3000.0,True,3.5,41.5,-185.0,+165,,
Matthew Slater,NE,,,,,,,,WR,7.0,2015.0,h,NYJ,0.0,4500.0,0.0,3000.0,True,-7.0,47.5,-325.0,+265,,
Frankie Hammond,KC,,,,,,,,WR,7.0,2015.0,h,PIT,0.0,4500.0,0.0,3000.0,True,-3.5,41.5,-185.0,+165,,
Rashad Ross,WAS,,,,,,,,WR,7.0,2015.0,h,TAM,0.0,4800.0,0.0,3000.0,True,-3.0,41.5,-155.0,+135,,
Denarius Moore,BUF,,,,,,,,WR,7.0,2015.0,a,JAC,0.0,4500.0,0.0,3000.0,True,-3.5,41.5,-185.0,+165,,
Jacoby Jones,SD,,,,,,,,WR,7.0,2015.0,h,OAK,0.0,4500.0,0.0,3000.0,True,-3.5,48.5,-185.0,+165,,
Kenny Stills,MIA,,,,,,,,WR,7.0,2015.0,h,HOU,0.0,5000.0,0.0,3000.0,True,-4.5,45.5,-220.0,+185,Probable,back
Bruce Ellington,SF,,,,,,,,WR,7.0,2015.0,h,SEA,0.0,4500.0,0.0,3000.0,True,6.5,42.0,-300.0,+250,Probable,calf
Griff Whalen,IND,,,,,,,,WR,7.0,2015.0,h,NOR,-2.0,4500.0,-1.0,3000.0,True,-5.0,53.0,-240.0,+200,,
Marlon Moore,CLE,,,,,,,,WR,7.0,2015.0,a,STL,,,0.0,3000.0,False,6.0,44.0,-265.0,+225,Questionable,hamstring
TJ Jones,DET,,,,,,,,WR,7.0,2015.0,h,MIN,,,0.0,3000.0,False,-1.0,45.0,-120.0,+100,,
Dri Archer,PIT,,,,,,,,WR,7.0,2015.0,a,KAN,,,0.0,3000.0,False,3.5,41.5,-185.0,+165,,
Myles White,NYG,,,,,,,,WR,7.0,2015.0,h,DAL,,,0.0,3000.0,False,-3.0,44.5,-160.0,+140,,
Brenton Bersin,CAR,,,,,,,,WR,7.0,2015.0,h,PHI,,,0.0,3000.0,False,-2.5,46.0,-140.0,+120,,
DeAndre Hopkins,HOU,15.0,10.0,148.0,2.0,0.0,0.0,0.0,WR,6.0,2015.0,a,JAC,31.8,8500.0,39.8,7700.0,True,3.0,43.0,-150.0,+130,,
Martavis Bryant,PIT,8.0,6.0,137.0,2.0,1.0,8.0,0.0,WR,6.0,2015.0,h,ARI,29.5,6100.0,35.5,4000.0,True,5.5,45.0,-250.0,+210,,
Calvin Johnson,DET,9.0,6.0,166.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,h,CHI,25.6,8200.0,31.6,7300.0,True,-3.5,45.5,-195.0,+170,,
Alshon Jeffery,CHI,11.0,8.0,147.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,a,DET,24.7,7400.0,31.7,6400.0,True,3.5,45.5,-195.0,+170,Questionable,hamstring
Steve Smith,BAL,10.0,7.0,137.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,a,SFO,23.2,6700.0,29.7,6100.0,True,-2.5,43.5,-145.0,+125,,
John Brown,ARI,14.0,10.0,196.0,0.0,0.0,0.0,0.0,WR,6.0,2015.0,a,PIT,22.6,6100.0,31.6,5200.0,True,-5.5,45.0,-250.0,+210,Probable,hamstring
Brandon Marshall,NYJ,9.0,7.0,111.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,h,WAS,18.6,8000.0,26.1,7100.0,True,-7.5,40.0,-370.0,+310,,
Emmanuel Sanders,DEN,12.0,4.0,109.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,a,CLE,18.9,7900.0,23.9,7500.0,True,-3.5,42.0,-170.0,+150,,
Lance Moore,DET,6.0,5.0,106.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,h,CHI,19.1,4500.0,24.6,3000.0,True,-3.5,45.5,-195.0,+170,,
Keenan Allen,SD,15.0,14.0,157.0,0.0,0.0,0.0,0.0,WR,6.0,2015.0,a,GNB,22.7,7700.0,32.7,7600.0,True,10.5,50.5,-600.0,+450,,
Torrey Smith,SF,6.0,3.0,96.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,h,BAL,17.1,6200.0,18.6,4200.0,True,2.5,43.5,-145.0,+125,,
Marvin Jones,CIN,12.0,9.0,95.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,a,BUF,20.0,5300.0,24.5,3500.0,True,-3.0,42.0,-160.0,+140,Probable,foot
Allen Robinson,JAC,12.0,6.0,86.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,h,HOU,17.6,6700.0,20.6,5900.0,True,-3.0,43.0,-150.0,+130,,
Riley Cooper,PHI,6.0,3.0,76.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,h,NYG,15.1,5300.0,16.6,3100.0,True,-3.5,50.5,-195.0,+170,,
Stefon Diggs,MIN,9.0,7.0,129.0,0.0,0.0,0.0,0.0,WR,6.0,2015.0,h,KAN,16.4,4500.0,22.9,3500.0,True,-3.5,43.0,-180.0,+160,,
Donte Moncrief,IND,11.0,6.0,69.0,1.0,0.0,0.0,0.0,WR,6.0,2015.0,h,NWE,15.9,6200.0,18.9,5000.0,True,9.0,54.0,-390.0,+320,,
