rank_x,team,ru_att,ru_yds_x,ru_avg_x,ru_td_x,ru_first,week,to_rank,to_plus_minus,to_takeaway_int,to_takeaway_fum,to_giveaway_int,to_giveaway_fum,rank_y,pa_comp,pa_att,pa_pct,pa_yds_x,pa_yds/att_x,pa_yds/rec,pa_td_x,pa_int,pa_qbr,pa_sacks,pa_yds_lost_sack,pa_fd,tot_fum,fum_lost,rank_x,first_tot,first_rush,first_pass,third_conv,third_att,third_pct,fourth_conv,fourth_att,fouth_pct,pen_num,pen_for_first,pen_yds_x,rank_y,tot_yds,ru_yds_y,ru_avg_y,ru_td_y,pa_yds_y,pa_yds/att_y,pa_yds/catch,pa_td_y,kr_yds,pr_yds,pen_yds_y
1,New YorkJets,43,207,4.8,2,13,4,7,1,2,0,1,0,25,16,29,55.2%,218,7.5,13.6,1,1,76.5,0,0,8,0,0,7,23,13,8,6,16,38.0%,0,0,-,14,2,163,9,425,207,4.8,2,218,7.5,13.6,1,45,32,163
2,BaltimoreRavens,39,191,4.9,1,10,4,25,-2,0,0,1,1,16,21,34,61.8%,165,4.9,8.9,1,1,71.3,5,21,10,1,1,12,21,10,10,6,17,35.0%,1,4,25.0%,4,1,30,15,356,191,4.9,1,165,4.9,8.9,1,24,14,30
3,AtlantaFalcons,35,135,3.9,4,8,4,1,4,1,3,0,0,20,19,27,70.4%,243,9.0,13.5,1,0,110.6,2,13,10,0,0,10,22,8,10,9,16,56.0%,1,1,100.0%,10,4,80,12,378,135,3.9,4,243,9.0,13.5,1,29,29,80
4,PittsburghSteelers,33,167,5.1,1,8,4,4,2,1,1,0,0,20,19,26,73.1%,96,3.7,6.5,1,0,91.2,4,28,8,0,0,22,17,8,8,2,13,15.0%,0,2,0.0%,4,1,20,25,263,167,5.1,1,96,3.7,6.5,1,31,51,20
4,CarolinaPanthers,33,133,4.0,0,8,4,1,4,4,1,0,1,30,11,22,50.0%,111,5.0,11.3,2,0,95.1,2,13,7,0,0,22,17,8,7,3,11,27.0%,0,0,-,5,2,45,27,244,133,4.0,0,111,5.0,11.3,2,26,5,45
4,Green BayPackers,33,162,4.9,1,9,4,7,1,1,0,0,0,15,22,32,68.8%,200,6.3,10.2,1,0,95.8,3,24,8,0,0,18,18,9,8,5,15,33.0%,2,2,100.0%,8,1,65,14,362,162,4.9,1,200,6.3,10.2,1,0,14,65
7,WashingtonRedskins,32,127,4.0,1,4,4,7,1,0,2,0,1,3,31,46,67.4%,290,6.3,9.4,1,0,91.8,1,0,18,0,0,3,25,4,18,9,17,53.0%,0,0,-,10,3,110,10,417,127,4.0,1,290,6.3,9.4,1,22,2,110
8,SeattleSeahawks,31,110,3.5,0,6,4,25,-2,0,1,0,3,17,20,26,76.9%,235,9.0,14.4,1,0,116.7,6,52,12,2,2,18,18,6,12,6,13,46.0%,0,0,-,5,0,30,16,345,110,3.5,0,235,9.0,14.4,1,46,42,30
9,Tampa BayBuccaneers,30,141,4.7,1,8,4,29,-4,0,1,4,1,12,26,43,60.5%,270,6.3,11.0,2,4,55.4,2,17,15,0,0,3,25,8,15,8,16,50.0%,2,2,100.0%,5,2,48,11,411,141,4.7,1,270,6.3,11.0,2,92,15,48
10,ChicagoBears,29,98,3.4,0,4,4,17,-1,1,1,1,2,8,28,43,65.1%,273,6.3,10.0,2,1,88.6,3,8,17,0,0,7,23,4,17,10,17,59.0%,1,1,100.0%,7,2,48,13,371,98,3.4,0,273,6.3,10.0,2,21,17,48
